FACID,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,LICENSE_NUMBER,BUSINESS_NAME,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_NUMBER,StreetNumber,StreetName,CCHLO_Code,CCLHO_Name,FIPS_Couunty_Code
10000060,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,99,6400 PURDUE DR,EUREKA,95503,"SMITH, LORENA",ADMINISTRATOR@SEAVIEWREHABWC.COM,(707) 441-8448,(707) 443-5668,110,HUMBOLDT,11,SANTA ROSA/REDWOOD COAST,Y,10000066,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",5-Feb-63,1-Nov-15,,PARTNERSHIP,40.731172,-124.203996,"(40.731172, -124.203996)",206121065,6400,PURDUE DR,12,HUMBOLDT,23
10000062,SHERWOOD OAKS HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,79,130 DANA ST,FORT BRAGG,95437,"MALONEY, JR., WILLARD  A",SOHC@MCN.ORG,(707) 964-1596,(707) 964-6333,330,MENDOCINO,11,SANTA ROSA/REDWOOD COAST,Y,10000036,"SHERWOOD OAKS ENTERPRISE, INC.",1-Dec-80,1-Dec-15,,PROFIT CORP,39.441172,-123.788596,"(39.441172, -123.788596)",206231007,130,DANA ST,23,MENDOCINO,45
10000065,SONOMA ACRES CARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,32,765 DONALD ST,SONOMA,95476,,MELBERT@SONOMAACRES.NET,(707) 996-5874,(707) 996-2161,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000071,"TAO TAI HOMES, INC.",7-Jul-57,30-Apr-16,,PROFIT CORP,38.304109,-122.46847,"(38.304109, -122.46847)",206491072,765,DONALD ST,49,SONOMA,97
10000066,BROADWAY VILLA POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,144,1250 BROADWAY,SONOMA,95476,"OLSON, ERIK",DBUNUAN@ENSIGNGROUP.NET,(707) 938-4400,(707) 938-8406,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000158,ENSIGN SONOMA LLC,25-Sep-68,16-May-16,,LIMITED LIABILITY COMPANY,38.278534,-122.45981,"(38.278534, -122.45981)",206491017,1250,BROADWAY,49,SONOMA,97
10000075,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,104,2321 NEWBURG RD,FORTUNA,95540,"L'ALLIER, SAMANTHA",ASTLUKE@SKILLEDHEALTHCARE.COM,(707) 725-1848,(707) 725-4467,110,HUMBOLDT,11,SANTA ROSA/REDWOOD COAST,Y,10000076,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",4-Dec-72,1-Nov-15,,PARTNERSHIP,40.589794,-124.141807,"(40.589794, -124.141807)",206121081,2321,NEWBURG RD,12,HUMBOLDT,23
10000076,SUMMERFIELD HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,70,1280 SUMMERFIELD RD,SANTA ROSA,95405,"BUSH, CASON",AMARSH@ENSIGNGROUP.NET,(707) 539-0630,(707) 539-1515,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000078,ENSIGN SANTA ROSA LLC,8-Jun-67,31-Jan-16,,LIMITED LIABILITY COMPANY,38.445334,-122.664467,"(38.445334, -122.664467)",206491085,1280,SUMMERFIELD RD,49,SONOMA,97
10000078,"EUREKA REHAB & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,99,2353 23RD ST,EUREKA,95501,"WEBB, DANA A",ADMINISTRATOR@EUREKAREHABWC.COM,(707) 441-8449,(707) 445-3261,110,HUMBOLDT,11,SANTA ROSA/REDWOOD COAST,Y,10000054,"EUREKA REHABILITATION & WELLNESS CENTER, LP",1-Jun-80,1-Nov-15,,PARTNERSHIP,40.786898,-124.141562,"(40.786898, -124.141562)",206121033,2353,23RD ST,12,HUMBOLDT,23
10000079,THE OAKS,SNF,SKILLED NURSING FACILITY,LTC,59,450 HAYES LN,PETALUMA,94952,"MEYERS, ANTHONY",THEOAKS@SONIC.NET,(707) 778-6111,(707) 778-8686,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000053,"OAK KNOLL CONVALESCENT CENTER, INC.",27-Jun-80,1-Dec-15,,PROFIT CORP,38.221985,-122.648943,"(38.221985, -122.648943)",206491032,450,HAYES LN,49,SONOMA,97
10000080,UKIAH POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,54,1349 S DORA ST,UKIAH,95482,"SMITH, LOWELL",CMONETTE@ENSIGNGROUP.NET,(707) 462-0718,(707) 462-8864,330,MENDOCINO,11,SANTA ROSA/REDWOOD COAST,Y,10000159,ENSIGN PLEASANTON LLC,10-Oct-86,1-Feb-16,,LIMITED LIABILITY COMPANY,39.130183,-123.208711,"(39.130183, -123.208711)",,1349,S DORA ST,23,MENDOCINO,45
10000082,REDWOOD COVE HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,68,1162 S DORA ST,UKIAH,95482,"HULL, MARY",TOMMY@PLUMH.COM,(707)462-1247,(707) 462-1436,330,MENDOCINO,11,SANTA ROSA/REDWOOD COAST,Y,10000080,"NIGHTSHADE HOLDINGS, LLC",31-Oct-67,7-Dec-15,,LIMITED LIABILITY COMPANY,39.135226,-123.209511,"(39.135226, -123.209511)",,1162,S DORA ST,23,MENDOCINO,45
10000086,BAYBERRY HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,400 AGUIRRE WAY,NAPA,94559,"JACKSON, LAUREN",LJACKSON@BAYBERRY.BIZ,(707) 252-6891,(707) 252-6845,380,NAPA,11,SANTA ROSA/REDWOOD COAST,Y,10000112,"BAYBERRY, INC.",1-Jun-83,1-Jun-15,,NONPROFIT CORP,38.29613,-122.271171,"(38.29613, -122.271171)",,400,AGUIRRE WAY,28,NAPA,55
10000087,BUTLER VALLEY,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,380 12TH ST,ARCATA,95521,"OTT, SUZETTE  M",BVADMIN@HUMBOLDT1.COM,(707) 445-1887,(707) 822-0301,110,HUMBOLDT,11,SANTA ROSA/REDWOOD COAST,Y,10000138,BUTLER VALLEY INC.,14-Sep-83,14-Nov-15,,NONPROFIT CORP,40.870501,-124.081444,"(40.870501, -124.081444)",,380,12TH ST,12,HUMBOLDT,23
10000088,BUTLER VALLEY #2,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,3971 F ST,EUREKA,95503,"OTT, SUZETTE  M",BVADMIN@HUMBOLDT1.COM,(707) 445-1887,(707) 442-7313,110,HUMBOLDT,11,SANTA ROSA/REDWOOD COAST,Y,10000137,BUTLER VALLEY INC.,1-Nov-85,1-Dec-15,,NONPROFIT CORP,40.770027,-124.163652,"(40.770027, -124.163652)",,3971,F ST,12,HUMBOLDT,23
10000089,"NEW HAVEN - ICF-DD -H, INCORPORATED",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,100 SAWYER ST,VALLEJO,94589,"PADILLA, LEONILA R",WEREBOJUS2003@YAHOO.COM,(707) 648-1549,(707) 563-5875,580,SOLANO,11,SANTA ROSA/REDWOOD COAST,Y,10000133,"NEW HAVEN ICF-DD-H, INCORPORATED",5-Jun-85,22-Oct-15,,PROFIT CORP,38.142165,-122.230206,"(38.142165, -122.230206)",,100,SAWYER ST,48,SOLANO,95
10000096,KAISER FOUNDATION HOSPITAL HOME HEALTH-VALLEJO,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,1761 BROADWAY ST,VALLEJO,94589,"DINGEL-STEWART, SYLVIA",JENNIFER.X.LILLARD@KP.ORG,(707) 645-2115,(707) 645-2720,580,SOLANO,11,SANTA ROSA/REDWOOD COAST,Y,10000008,KAISER FOUNDATION HOSPITALS,1-Jul-67,1-Dec-15,,NONPROFIT CORP,38.130876,-122.252353,"(38.130876, -122.252353)",406480927,1761,BROADWAY ST,48,SOLANO,95
10000098,ADVENTIST HEALTH HOME CARE,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,27 WOODLAND RD,SAINT HELENA,94574,"RUTHERFORD, PATRICIA",RUTHERPL@AH.ORG,(707) 963-6295,(707) 967-5770,380,NAPA,11,SANTA ROSA/REDWOOD COAST,Y,10000074,WESTERN HEALTH RESOURCES,1-Jan-78,20-Dec-15,,NONPROFIT CORP,38.539806,-122.47341,"(38.539806, -122.47341)",406281079,27,WOODLAND RD,28,NAPA,55
10000140,GENTIVA HEALTH SERVICES,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,1260 N DUTTON AVE,SANTA ROSA,95401,"WITTWER, JODI",JEFF.COPELAND@GENTIVA.COM,(707) 545-8026,(707) 545-7114,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000084,GENTIVA CERTIFIED HEALTHCARE CORP.,17-Jun-66,30-Mar-16,,PROFIT CORP,38.44885,-122.732568,"(38.44885, -122.732568)",406491098,1260,N DUTTON AVE,49,SONOMA,97
10000148,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,889 11TH ST,LAKEPORT,95453,"ESTEVO, JENNIFER D",LYKKENF@SUTTERHEALTH.ORG,(707) 263-1964,(707) 263-7400,160,LAKE,11,SANTA ROSA/REDWOOD COAST,Y,10000118,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE,1-Feb-84,28-Feb-16,,NONPROFIT CORP,39.049004,-122.922443,"(39.049004, -122.922443)",406172280,889,11TH ST,17,LAKE,33
10000149,ST. JOSEPH HOME CARE - QUEEN OF THE VALLEY,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,980 TRANCAS ST,NAPA,94558,"GLOMP, LINDA",TRACY.ALLEN@STJOE.ORG,(707) 224-7087,(707) 586-6501,380,NAPA,11,SANTA ROSA/REDWOOD COAST,Y,10000127,ST. JOSEPH HOME CARE NETWORK,4-Sep-84,1-Apr-16,,NONPROFIT CORP,38.323723,-122.295112,"(38.323723, -122.295112)",406284018,980,TRANCAS ST,28,NAPA,55
10000150,ADVENTIST HEALTH HOME CARE OF LAKE COUNTY,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,9245 HIGHWAY 53,LOWER LAKE,95457,"RUTHERFORD, PATRICIA",,(707) 963-6295,(707) 994-0737,160,LAKE,11,SANTA ROSA/REDWOOD COAST,Y,10000139,WESTERN HEALTH RESOURCES,1-Jul-85,20-Dec-15,,NONPROFIT CORP,38.915589,-122.612337,"(38.915589, -122.612337)",,9245,HIGHWAY 53,17,LAKE,33
10000152,MAD RIVER COMMUNITY HOSPITAL HOME CARE SERVICE,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,4605 VALLEY WEST BLVD,ARCATA,95521,"GOOSBY, BRENDA",HOMEHEALTH@MADRIVERHOSPITAL.COM,(707) 826-8428,(707) 826-8420,110,HUMBOLDT,11,SANTA ROSA/REDWOOD COAST,Y,10000166,AMERICAN HOSPITAL MANAGEMENT CORPORATION,28-Apr-83,28-Apr-16,,PROFIT CORP,40.900451,-124.082987,"(40.900451, -124.082987)",406122313,4605,VALLEY WEST BLVD,12,HUMBOLDT,23
10000156,NORTHBAY HEALTH AT HOME,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,4520 BUSINESS CENTER DRIVE,FAIRFIELD,94534,"LOWE, EDWARD",,(707) 429-6846,(707) 646-3575,580,SOLANO,11,SANTA ROSA/REDWOOD COAST,Y,10000037,NORTHBAY HEALTHCARE GROUP,8-Dec-80,8-Dec-15,,NONPROFIT CORP,38.226012,-122.132581,"(38.226012, -122.132581)",,4520,BUSINESS CENTER DRIVE,48,SOLANO,95
10000158,ST. JOSEPH HOME CARE -  HUMBOLDT COUNTY,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,2127 HARRISON AVE.,EUREKA,95501,"SPRINGSTEAD, KERMIT",SHIRLEY.SLEEKER@STJOE.ORG,(707) 586-6598,(707) 443-9332,110,HUMBOLDT,11,SANTA ROSA/REDWOOD COAST,Y,10000057,ST. JOSEPH HOME CARE NETWORK,1-May-86,1-Nov-15,,NONPROFIT CORP,40.788018,-124.139649,"(40.788018, -124.139649)",406121036,2127,HARRISON AVE.,12,HUMBOLDT,23
10000160,MILESTONES OF DEVELOPMENT #1,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,150 HILLVIEW DR,VALLEJO,94591,"MACK, CYNTHIA E",MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0496,580,SOLANO,11,SANTA ROSA/REDWOOD COAST,Y,10000103,MILESTONES OF DEVELOPMENT INC.,3-May-83,1-Nov-15,,NONPROFIT CORP,38.116091,-122.205173,"(38.116091, -122.205173)",,150,HILLVIEW DR,48,SOLANO,95
10000161,MILESTONES OF DEVELOPMENT #2,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,136 RON CT,VALLEJO,94591,"MACK, CYNTHIA",MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0430,580,SOLANO,11,SANTA ROSA/REDWOOD COAST,Y,10000104,MILESTONES OF DEVELOPMENT INC.,3-May-83,1-Nov-15,,NONPROFIT CORP,38.113311,-122.206372,"(38.113311, -122.206372)",,136,RON CT,48,SOLANO,95
10000162,MILESTONES OF DEVELOPMENT #3,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,178 SUNRISE WAY,VALLEJO,94591,"YATES, JOAN",MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0496,580,SOLANO,11,SANTA ROSA/REDWOOD COAST,Y,10000105,MILESTONES OF DEVELOPMENT INC.,3-May-83,1-Nov-15,,NONPROFIT CORP,38.114294,-122.202967,"(38.114294, -122.202967)",,178,SUNRISE WAY,48,SOLANO,95
10000163,MILESTONES OF DEVELOPMENT #4,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,132 TERRYBROOK LN,VALLEJO,94591,"MACK, CYNTHIA",MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0496,580,SOLANO,11,SANTA ROSA/REDWOOD COAST,Y,10000106,MILESTONES OF DEVELOPMENT INC.,3-May-83,1-Nov-15,,NONPROFIT CORP,38.114031,-122.210596,"(38.114031, -122.210596)",,132,TERRYBROOK LN,48,SOLANO,95
10000164,MILESTONES OF DEVELOPMENT #5,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,200 LYTHAM WAY,VALLEJO,94591,"YATES, JOAN",MODOFFICE1@AOL.COM,(707) 644-1704,(707) 644-0496,580,SOLANO,11,SANTA ROSA/REDWOOD COAST,Y,10000107,MILESTONES OF DEVELOPMENT INC.,3-May-83,1-Nov-15,,NONPROFIT CORP,38.115155,-122.20088,"(38.115155, -122.20088)",,200,LYTHAM WAY,48,SOLANO,95
10000169,MENDOCINO COAST HOME HEALTH,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,700 RIVER DR,FORT BRAGG,95437,"WILSON, JUNICE",MPHILLIBER@MCDH.NET,(707) 961-4930,(707) 961-4651,330,MENDOCINO,11,SANTA ROSA/REDWOOD COAST,Y,10000146,MENDOCINO COAST HEALTHCARE DISTRICT,4-Jun-86,4-Jun-16,,HEALTH CARE DISTRICT,39.430836,-123.800738,"(39.430836, -123.800738)",406234031,700,RIVER DR,23,MENDOCINO,45
10000208,SPRING LAKE VILLAGE,SNF,SKILLED NURSING FACILITY,LTC,70,5555 MONTGOMERY DR,SANTA ROSA,95409,"HERMANSON, KRISTIN",SYORK@JTM-ESC.ORG,(831) 373-2140,(707) 538-8400,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000147,EPISCOPAL SENIOR COMMUNITIES,14-Nov-86,29-Mar-16,,NONPROFIT CORP,38.457556,-122.643565,"(38.457556, -122.643565)",206494001,5555,MONTGOMERY DR,49,SONOMA,97
10000394,"BENNETT VALLEY ICF/DD-H, INC.",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,2416 CACTUS AVE,SANTA ROSA,95405,"HIRE, RICHARD",JALBERO88@YAHOO.COM,(650) 347-8887,(707) 544-6465,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000182,"BENNETT VALLEY ICF/DD-H, INC.",4-Jan-88,1-Feb-16,,PROFIT CORP,38.425458,-122.672252,"(38.425458, -122.672252)",,2416,CACTUS AVE,49,SONOMA,97
10000427,ADULTS IN COMMUNITY TRANSITIONS- ACT 1,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,4795 GADDY LN,KELSEYVILLE,95451,"DAVIS, JAN",ADVOCATESACCT@GMAIL.COM,(707) 263-3927,(707) 279-8822,160,LAKE,11,SANTA ROSA/REDWOOD COAST,Y,10000193,ADVOCATES FOR INDEPENDENT LIVING,7-Sep-88,7-Nov-15,,NONPROFIT CORP,38.985085,-122.829085,"(38.985085, -122.829085)",,4795,GADDY LN,17,LAKE,33
